Autobesitz,Autoleistung,Zeitkarte,Fuehrerschein,Autozugang,Fahrradzugang,Gegenstandstransport,Personentransport,Campusbewohner,PLZ,Geschlecht,Alter,Haushalt,Kinder,Bildungsabschluss,Bildungsabschluss2,Einkommen,SD18_01,Gruppe,Taetigkeit_2019,V903_01,V903_02,V903_03,V903_04,V903_05,V903_06,V903_07,V903_08,V903_09,V904,V904x01,V904x02,V905,Sharing_2019,Sharing_2019_Carsharing,Sharing_2019_Bikesharing,Sharing_2019_Roller,Sharing_2019_andere,Sharing_2019_nein,V001,V003_01,V003_02,V003_03,V003_04,V003_05,V003_06,V003_07,V003_08,V003_09,V004,V004x01,V004x02,V004x03,V005,V007_CN,Sharing_2020,Sharing_2020_Carsharing,Sharing_2020_Bikesharing,Sharing_2020_Roller,Sharing_2020_andere,Sharing_2020_nein,Entfernung_Wohnort_Campus,Bereitschaft_Sharing,Anzahl_Anforderungen_Sharing,Anforderungen1,Anforderungen2,Anforderungen3,Anforderungen4,Anforderungen5,Anforderungen6,Anforderungen7,Anforderungen8,Anforderungen9,Anzahl_gewaehlter_Sharing_Verkehrsmittel,desired_Sharing_Autos,desired_Sharing_Fahrräder,desired_Sharing_Lastenräder,desired_Sharing_Roller,desired_Sharing_Sonstige,desired_Sharing_Sonstige_open,Bereitschaft_Sharing2
32,2,1,1,4,4,2,1,2,813,2,6,4,1,8,,7,,4,1,4,-9,-9,97,-9,-9,-9,-9,-9,0,,,5,1,1,1,1,1,2,,101,-9,-9,-9,-9,-9,-9,-9,-9,0,,,,2,1,1,1,1,1,1,2,27,4,1,"Der Radius müsste > 20 km sein, da ich das Angebot wenn dann für den Arbeits-/Heimweg benötigen würde.",,,,,,,,,0,1,1,1,1,1,,1
1,,1,1,1,3,2,1,2,819,1,2,1,2,4,,10,,6,1,-9,-9,-9,93,9,-9,-9,-9,-9,0,,,5,1,1,1,1,1,2,,-9,-9,-9,101,-9,-9,-9,-9,-9,0,,,,4,1,1,1,1,1,1,2,8,4,0,,,,,,,,,,1,2,1,1,1,1,,1
31,2,1,1,4,4,1,1,2,816,2,2,2,2,8,,6,,4,1,-9,-9,-9,45,84,-9,-9,-9,-9,0,,,5,1,1,1,1,1,2,,-9,-9,-9,30,-9,-9,-9,75,-9,0,,,,5,1,1,1,1,1,1,2,12,1,3,Schnelle Verfügbarkeit,Rund um die Uhr nutzbar,Längere leihe zb für mehrere Tage nutzbar,,,,,,,2,1,2,2,1,1,,1
32,1,1,1,4,4,2,2,2,854,1,2,1,2,8,,6,,4,2,,,,,,,,,,,,,,,,,,,,1,101,1,2,1,1,1,1,1,1,0,,,,1,1,1,1,1,1,1,2,60,1,2,einfache Handhabung,Zuverlässigkeit,,,,,,,,2,1,1,2,2,1,,1
31,6,2,1,4,2,3,1,1,855,1,2,,,8,,6,,1,1,95,52,-9,-9,-9,-9,-9,-9,-9,0,,,2,1,1,1,1,1,2,,95,21,-9,-9,-9,-9,-9,-9,-9,0,,,,1,1,1,1,1,1,1,2,150,4,2,Verfügbarkeit,einfache Bedienung (ohne Karte...),,,,,,,,1,1,2,1,1,1,,1
1,,1,1,1,1,3,1,1,855,1,2,,,10,IB (Internationale Abitur),4,,1,2,,,,,,,,,,,,,,,,,,,,1,1,2,7,91,70,1,63,1,-9,0,,,,1,1,1,1,1,1,1,2,901,1,2,Einfach zu buchen,Sauberkeit,,,,,,,,2,2,2,1,1,1,,1
32,5,2,1,4,2,2,2,2,588,2,2,2,2,4,,6,,3,1,68,-9,28,-9,-9,-9,-9,-9,-9,0,,,5,1,1,1,1,1,2,,84,1,48,-9,-9,-9,-9,-9,1,0,,,,4,1,1,1,1,1,1,2,38,5,0,,,,,,,,,,1,2,1,1,1,1,,0
21,,1,1,2,4,2,4,2,816,2,6,4,1,8,,7,,4,1,-9,-9,-9,12,90,-9,-9,-9,-9,0,,,5,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,9,1,1,Transportbox für Baumarktartikel und zur Abholung von Sendungen in der Warenannahme,,,,,,,,,2,1,2,2,1,1,,1
32,3,2,1,4,3,2,2,1,89,2,2,,,7,,6,"Ich würde mir wünsche, das es eine höhere Anzahl von Toren zum Betreten/ verlassen der UniBw gibt. Eine Vielzahl von Kameraden Nutzen nur Verkehrsmittel wie KFZ etc da es teilweise keine in der Nähe befindliche Tore gibt.",1,1,79,-9,-9,5,33,-9,-1,-9,-9,0,,,4,1,1,1,1,1,2,,95,-9,-9,-9,14,-9,-9,-9,-9,0,,,,4,1,1,1,1,1,1,2,15,4,1,Einfache Anforderung des Verkehrsmittels,,,,,,,,,4,2,2,2,2,1,,1
32,2,2,1,4,1,2,1,2,818,1,9,2,2,4,,10,"Ohne eigenes Auto haben Erkrankte wie ich keine Chance, mobil zu sein. 
Den Hype um Elektrofahrzeuge empfinde ich als völlig übertrieben und erschreckend, weil es bessere Antriebsarten gäbe. Warum diese nicht berücksichtigt und weiter erforscht werden, empfinde ich als ""Geht-gar-nicht""!",6,1,101,-9,-9,-9,-9,-9,-9,-9,-9,0,,,5,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,5,5,0,,,,,,,,,,1,1,1,1,1,2,nichts davon,0
32,2,2,1,4,3,1,1,2,817,2,9,4,1,8,,7,,4,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,5,4,7,Auto sollte automatisch vor die Tür fahren bzw. vorfahren,Garantierte Verfügbarkeit,Sauber und Verkehrssicher,Preisgünstig,"Unbürokratisch, Einfachheit des Orderings",Transparente Darstellung der Kosten,Anzeige in wieviel Minuten das Fahrzeug da ist,,,1,2,1,1,1,1,,1
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9
22,,1,1,3,2,2,1,2,822,2,2,2,2,10,Master of Engineering,6,,4,2,,,,,,,,,,,,,,,,,,,,1,1,-9,-9,66,94,25,-9,-9,-9,0,,,,5,1,1,1,1,1,1,2,50,4,1,schnell verfügbare und gut zugängliche Verkehrsmittel,,,,,,,,,3,2,2,2,1,1,,1
