zeit,zaehlstelle,gesamt
2017-06-01 22:00:00,Hirsch,53
2017-06-01 22:00:00,Kreuther,8
2017-06-01 22:00:00,Margareten,146
2017-06-01 22:00:00,Olympia,98
2017-06-01 23:00:00,Arnulf,53
2017-06-01 23:00:00,Erhardt,208
2017-06-01 23:00:00,Hirsch,27
2017-06-01 23:00:00,Kreuther,9
2017-06-01 23:00:00,Margareten,92
2017-06-01 23:00:00,Olympia,42
2017-06-02 00:00:00,Arnulf,34
2017-06-02 00:00:00,Erhardt,106
2017-06-02 00:00:00,Hirsch,9
2017-06-02 00:00:00,Kreuther,7
2017-06-02 00:00:00,Margareten,44
2017-06-02 00:00:00,Olympia,26
2017-06-02 01:00:00,Arnulf,21
2017-06-02 01:00:00,Erhardt,49
2017-06-02 01:00:00,Hirsch,6
2017-06-02 01:00:00,Kreuther,2
2017-06-02 01:00:00,Margareten,19
2017-06-02 01:00:00,Olympia,16
2017-06-02 02:00:00,Arnulf,6
2017-06-02 02:00:00,Erhardt,22
2017-06-02 02:00:00,Hirsch,6
2017-06-02 02:00:00,Kreuther,0
2017-06-02 02:00:00,Margareten,9
2017-06-02 02:00:00,Olympia,5
2017-06-02 03:00:00,Arnulf,1
2017-06-02 03:00:00,Erhardt,4
2017-06-02 03:00:00,Hirsch,0
2017-06-02 03:00:00,Kreuther,3
2017-06-02 03:00:00,Margareten,6
2017-06-02 03:00:00,Olympia,0
2017-06-02 04:00:00,Arnulf,4
2017-06-02 04:00:00,Erhardt,5
2017-06-02 04:00:00,Hirsch,2
2017-06-02 04:00:00,Kreuther,0
2017-06-02 04:00:00,Margareten,7
2017-06-02 04:00:00,Olympia,1
2017-06-02 05:00:00,Arnulf,13
2017-06-02 05:00:00,Erhardt,11
2017-06-02 05:00:00,Hirsch,5
2017-06-02 05:00:00,Kreuther,2
2017-06-02 05:00:00,Margareten,16
2017-06-02 05:00:00,Olympia,6
2017-06-02 06:00:00,Arnulf,44
2017-06-02 06:00:00,Erhardt,58
2017-06-02 06:00:00,Hirsch,50
2017-06-02 06:00:00,Kreuther,6
2017-06-02 06:00:00,Margareten,47
2017-06-02 06:00:00,Olympia,35
2017-06-02 07:00:00,Arnulf,95
2017-06-02 07:00:00,Erhardt,242
2017-06-02 07:00:00,Hirsch,166
2017-06-02 07:00:00,Kreuther,30
2017-06-02 07:00:00,Margareten,168
2017-06-02 07:00:00,Olympia,110
2017-06-02 08:00:00,Arnulf,236
